Configuration,Language,File Path,Successfully Extracted,Failure Reason
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/runtimeScheduling.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/walletApi.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/utils/env.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/database/databaseHardening.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,supabase/functions/wasel-email/templates.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/wallet/WalletDashboard.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/wasel-ui/WaselAvatar.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/layout/DeferredLandingMap.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/design-system/components/Button.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/domains/admin/infrastructure/AdminGateway.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,shared/domain-contracts.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/wasel-ds.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/domains/mobility/infrastructure/MobilityGateway.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/App.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/pages/WaselAuth.test.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/modules/trips/trip.state.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/auth/MagicLinkAuth.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/api-validation.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/wasel-ui/WaselPriceTag.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/WaselMap.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/chaosTest.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/core.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/integration/test-utils.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,supabase/functions/make-server-0b1f4071/_shared/two-factor-runtime.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/design-system/brand.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/design-system/components/Input.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/storage/rideBookingLogic.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/domains/auth/domain/events.ts,true,""
